Date,Open,High,Low,Close,Adj Close,Volume
2021-03-12,162.750000,164.199997,155.550003,157.000000,157.000000,15901414
2021-03-15,157.500000,159.000000,151.750000,158.300003,158.300003,15611384
2021-03-16,159.000000,159.899994,154.250000,157.550003,157.550003,15486161
2021-03-17,157.100006,158.149994,149.199997,150.250000,150.250000,17552475
2021-03-18,152.800003,154.800003,143.100006,146.600006,146.600006,20262104
2021-03-19,144.500000,152.399994,141.399994,151.000000,151.000000,23896696
2021-03-22,151.000000,154.250000,147.500000,150.000000,150.000000,19111354
2021-03-23,150.949997,156.449997,148.600006,153.850006,153.850006,21421629
2021-03-24,152.649994,154.649994,147.550003,148.350006,148.350006,13974005
2021-03-25,148.600006,150.500000,137.050003,143.399994,143.399994,33493070
2021-03-26,147.000000,148.500000,144.300003,146.149994,146.149994,16574855
2021-03-30,148.000000,149.500000,144.800003,147.050003,147.050003,13089845
2021-03-31,146.949997,155.399994,145.449997,152.199997,152.199997,25075042
2021-04-01,154.399994,157.399994,150.600006,156.350006,156.350006,18668358
2021-04-05,154.250000,156.000000,144.850006,146.750000,146.750000,22534118
2021-04-06,148.000000,149.899994,145.649994,148.000000,148.000000,14863502
2021-04-07,147.500000,153.000000,147.149994,149.649994,149.649994,19410024
2021-04-08,150.800003,151.399994,146.550003,147.199997,147.199997,13085830
2021-04-09,147.000000,153.800003,146.000000,148.750000,148.750000,24984543
2021-04-12,143.949997,143.949997,130.350006,132.199997,132.199997,27939947
2021-04-13,135.000000,137.949997,131.550003,137.350006,137.350006,20101923
2021-04-15,136.300003,139.300003,133.600006,135.750000,135.750000,15554952
2021-04-16,135.750000,137.850006,133.000000,134.199997,134.199997,13887726
2021-04-19,128.000000,129.800003,124.300003,129.300003,129.300003,20077732
2021-04-20,131.000000,133.000000,126.849998,128.050003,128.050003,13038499
2021-04-22,125.800003,131.250000,125.099998,130.250000,130.250000,13909497
2021-04-23,128.500000,134.800003,128.350006,130.500000,130.500000,20689949
2021-04-26,132.100006,135.800003,131.750000,135.250000,135.250000,18837895
2021-04-27,135.800003,140.199997,134.600006,139.649994,139.649994,20065476
2021-04-28,140.000000,143.699997,140.000000,143.100006,143.100006,16724543
2021-04-29,144.000000,144.899994,138.100006,139.500000,139.500000,19044879
2021-04-30,137.399994,143.899994,136.500000,138.750000,138.750000,18859850
2021-05-03,136.949997,139.800003,135.899994,138.750000,138.750000,13682192
2021-05-04,140.000000,148.300003,139.600006,141.350006,141.350006,37241287
2021-05-05,143.699997,147.899994,142.399994,145.600006,145.600006,22404765
2021-05-06,147.000000,147.000000,142.399994,143.449997,143.449997,11113538
2021-05-07,144.449997,145.899994,142.100006,144.300003,144.300003,10974380
2021-05-10,145.000000,150.850006,144.500000,147.149994,147.149994,18713294
2021-05-11,144.000000,152.300003,143.350006,150.100006,150.100006,32755149
2021-05-12,150.899994,155.699997,148.350006,152.199997,152.199997,34387684
2021-05-14,154.600006,156.500000,145.899994,147.550003,147.550003,25644720
2021-05-17,149.000000,154.000000,149.000000,153.500000,153.500000,16730937
2021-05-18,155.899994,157.649994,145.149994,146.649994,146.649994,46783413
2021-05-19,148.000000,152.250000,146.000000,146.399994,146.399994,38781856
2021-05-20,147.899994,149.600006,146.399994,147.399994,147.399994,15435022
2021-05-21,148.949997,153.500000,148.500000,152.850006,152.850006,33505835
2021-05-24,154.449997,159.800003,152.800003,154.350006,154.350006,50412614
2021-05-25,155.800003,156.199997,150.000000,150.449997,150.449997,23174514
2021-05-26,151.000000,152.250000,149.199997,149.550003,149.550003,15494451
2021-05-27,150.649994,155.399994,148.649994,153.649994,153.649994,33989972
2021-05-28,156.100006,162.899994,154.800003,161.899994,161.899994,60544144
2021-05-31,162.000000,163.649994,158.100006,160.800003,160.800003,25808993
2021-06-01,161.600006,163.000000,157.850006,159.050003,159.050003,17526434
2021-06-02,159.000000,164.399994,158.300003,163.800003,163.800003,23879440
2021-06-03,165.000000,165.750000,162.649994,163.250000,163.250000,16479664
2021-06-04,163.000000,163.949997,159.850006,161.100006,161.100006,13841718
2021-06-07,162.000000,162.800003,160.050003,160.899994,160.899994,9575778
2021-06-08,161.000000,161.500000,155.750000,157.949997,157.949997,16097874
2021-06-09,158.800003,162.250000,153.350006,155.750000,155.750000,21646053
2021-06-10,157.100006,159.399994,155.649994,156.949997,156.949997,11326908
2021-06-11,158.600006,159.500000,154.800003,155.899994,155.899994,8529190
2021-06-14,155.899994,155.899994,150.000000,154.750000,154.750000,13771699
2021-06-15,155.100006,156.949997,153.899994,154.350006,154.350006,6396022
2021-06-16,154.500000,156.000000,151.850006,152.149994,152.149994,8197862
2021-06-17,150.600006,154.399994,149.500000,151.350006,151.350006,12699050
2021-06-18,152.000000,152.899994,141.449997,147.399994,147.399994,19030440
2021-06-21,145.000000,152.949997,143.800003,152.300003,152.300003,17723430
2021-06-22,154.250000,155.899994,151.000000,151.750000,151.750000,12073320
2021-06-23,152.750000,154.199997,150.899994,151.949997,151.949997,11703214
2021-06-24,152.649994,153.199997,148.500000,149.050003,149.050003,9353379
2021-06-25,150.000000,155.300003,149.350006,153.399994,153.399994,15298977
2021-06-28,154.800003,158.199997,154.300003,156.949997,156.949997,19390030
2021-06-29,156.800003,157.750000,153.300003,153.750000,153.750000,9926727
2021-06-30,154.899994,155.100006,151.500000,151.850006,151.850006,7772420
2021-07-01,152.600006,154.949997,151.149994,153.600006,153.600006,10659224
2021-07-02,153.600006,155.699997,153.149994,153.750000,153.750000,7885379
2021-07-05,155.000000,156.500000,153.449997,155.800003,155.800003,9356682
2021-07-06,155.699997,157.000000,153.000000,153.500000,153.500000,8745768
2021-07-07,153.000000,155.149994,152.449997,154.550003,154.550003,5619787
2021-07-08,155.000000,156.350006,150.649994,151.800003,151.800003,8357485
2021-07-09,150.899994,152.300003,150.000000,151.199997,151.199997,6677987
2021-07-12,152.699997,153.850006,151.000000,151.750000,151.750000,7488327
2021-07-13,152.750000,153.699997,151.850006,153.350006,153.350006,5871545
2021-07-14,152.949997,153.800003,151.250000,151.600006,151.600006,8183269
2021-07-15,152.350006,152.449997,149.300003,150.550003,150.550003,8101874
2021-07-16,151.899994,152.250000,150.149994,151.300003,151.300003,5517065
2021-07-19,150.699997,150.699997,147.199997,148.149994,148.149994,7526446
2021-07-20,148.199997,148.500000,143.550003,144.449997,144.449997,8968796
2021-07-22,145.800003,146.500000,144.449997,144.899994,144.899994,4415452
2021-07-23,145.000000,146.300003,143.850006,146.050003,146.050003,5588143
2021-07-26,146.199997,147.350006,145.300003,146.649994,146.649994,5127227
2021-07-27,147.000000,150.600006,146.500000,148.800003,148.800003,17631036
2021-07-28,150.050003,150.500000,142.100006,143.250000,143.250000,19789687
2021-07-29,143.899994,151.000000,142.899994,149.649994,149.649994,24944354
2021-07-30,149.649994,155.050003,148.850006,153.199997,153.199997,19185850
2021-08-02,154.699997,157.750000,154.149994,155.600006,155.600006,15142755
2021-08-03,156.000000,157.699997,154.800003,157.149994,157.149994,14001982
2021-08-04,157.800003,159.550003,155.500000,156.800003,156.800003,19558216
2021-08-05,155.800003,156.949997,152.000000,156.350006,156.350006,13043199
2021-08-06,156.500000,158.800003,155.550003,157.350006,157.350006,9687936
2021-08-09,157.000000,158.000000,152.649994,154.699997,154.699997,6915834
2021-08-10,154.000000,156.300003,150.350006,152.800003,152.800003,7981747
2021-08-11,152.800003,154.800003,150.750000,154.100006,154.100006,5418518
2021-08-12,154.149994,156.399994,153.550003,155.699997,155.699997,5788144
2021-08-13,156.050003,157.300003,154.000000,156.000000,156.000000,11021997
2021-08-16,155.000000,160.199997,154.699997,157.449997,157.449997,17837489
2021-08-17,156.500000,156.500000,151.750000,152.649994,152.649994,27696062
2021-08-18,152.600006,158.600006,151.000000,157.149994,157.149994,34481078
2021-08-20,155.000000,155.149994,151.199997,152.800003,152.800003,11571042
2021-08-23,154.000000,154.649994,148.199997,152.899994,152.899994,8868571
2021-08-24,152.000000,156.000000,151.750000,155.699997,155.699997,7969447
2021-08-25,155.899994,156.800003,150.500000,151.050003,151.050003,31519244
2021-08-26,151.449997,155.149994,151.350006,152.850006,152.850006,30156307
2021-08-27,153.149994,153.449997,151.199997,151.600006,151.600006,9377338
2021-08-30,153.000000,155.800003,152.100006,155.250000,155.250000,12970720
2021-08-31,155.250000,162.500000,153.699997,159.100006,159.100006,32668471
2021-09-01,159.000000,162.199997,157.199997,161.050003,161.050003,16600381
2021-09-02,161.649994,162.949997,158.399994,159.100006,159.100006,18378252
2021-09-03,159.350006,163.449997,159.100006,160.699997,160.699997,19159144
2021-09-06,161.699997,164.000000,159.750000,160.050003,160.050003,16465948
2021-09-07,160.699997,160.699997,155.199997,156.100006,156.100006,15716324
2021-09-08,156.100006,161.149994,155.699997,157.750000,157.750000,17990305
2021-09-09,157.000000,159.699997,156.649994,157.500000,157.500000,6760623
2021-09-13,157.000000,158.100006,155.449997,156.800003,156.800003,6645239
2021-09-14,157.000000,157.899994,154.649994,155.250000,155.250000,9677274
2021-09-15,156.399994,162.050003,155.500000,161.600006,161.600006,19003954
2021-09-16,161.600006,167.800003,160.449997,166.750000,166.750000,37965546
2021-09-17,169.300003,171.250000,159.199997,162.750000,162.750000,44856907
2021-09-20,159.000000,163.199997,154.399994,154.949997,154.949997,13718062
2021-09-21,156.300003,157.399994,152.050003,154.949997,154.949997,14323425
2021-09-22,155.800003,159.100006,155.000000,156.850006,156.850006,11331789
2021-09-23,158.199997,163.000000,158.000000,160.800003,160.800003,18468123
2021-09-24,161.000000,161.699997,157.199997,157.699997,157.699997,7568187
2021-09-27,159.100006,161.750000,158.100006,159.899994,159.899994,10243714
2021-09-28,160.000000,164.899994,159.949997,163.699997,163.699997,15400565
2021-09-29,161.800003,172.000000,161.699997,168.149994,168.149994,35308289
2021-09-30,168.949997,177.500000,168.550003,173.000000,173.000000,44191136
2021-10-01,172.399994,178.949997,168.000000,176.850006,176.850006,32470585
2021-10-04,177.399994,182.949997,177.100006,182.100006,182.100006,25046490
2021-10-05,182.000000,183.399994,178.199997,179.750000,179.750000,16562629
2021-10-06,180.100006,183.399994,173.449997,174.449997,174.449997,18996875
2021-10-07,176.550003,177.500000,173.600006,174.850006,174.850006,11754552
2021-10-08,177.000000,178.949997,171.699997,177.250000,177.250000,18248941
2021-10-11,179.000000,180.949997,175.550003,176.649994,176.649994,16526973
2021-10-12,177.000000,188.000000,176.000000,187.050003,187.050003,42118897
2021-10-13,189.000000,189.649994,184.649994,186.600006,186.600006,31426577
2021-10-14,187.899994,195.000000,186.899994,193.550003,193.550003,27769060
2021-10-18,195.800003,204.250000,193.600006,198.949997,198.949997,36940320
2021-10-19,200.899994,201.500000,189.100006,190.699997,190.699997,23114976
2021-10-20,190.199997,197.350006,186.649994,195.300003,195.300003,21818788
2021-10-21,197.100006,201.000000,192.250000,199.600006,199.600006,28400298
2021-10-22,201.000000,203.350006,196.100006,198.600006,198.600006,23249476
2021-10-25,199.600006,206.750000,198.850006,201.949997,201.949997,30065875
2021-10-26,203.000000,207.500000,191.250000,193.350006,193.350006,60155155
2021-10-27,198.850006,203.800003,197.250000,200.800003,200.800003,41964959
2021-10-28,200.949997,202.800003,194.500000,195.399994,195.399994,28219533
2021-10-29,194.649994,218.649994,191.100006,214.500000,214.500000,72268109
2021-11-01,215.000000,215.949997,208.850006,214.649994,214.649994,17718714
2021-11-02,216.000000,226.449997,214.000000,224.250000,224.250000,38958818
2021-11-03,224.750000,229.649994,222.000000,225.949997,225.949997,31063219
2021-11-04,227.649994,231.000000,227.000000,228.800003,228.800003,4384463
2021-11-08,229.949997,246.000000,228.750000,244.250000,244.250000,48428300
2021-11-09,245.000000,247.600006,241.000000,242.800003,242.800003,23106634
2021-11-10,242.000000,244.149994,234.000000,235.949997,235.949997,17896872
2021-11-11,236.199997,238.350006,229.350006,231.600006,231.600006,13854474
2021-11-12,233.000000,233.949997,226.550003,230.800003,230.800003,15085718
2021-11-15,232.449997,232.850006,226.699997,227.600006,227.600006,7720720
2021-11-16,228.050003,229.350006,221.000000,222.050003,222.050003,10953363
2021-11-17,221.000000,226.500000,219.500000,220.050003,220.050003,15383307
2021-11-18,220.899994,222.949997,215.850006,219.550003,219.550003,12745860
2021-11-22,220.000000,220.649994,206.399994,211.800003,211.800003,13747409
2021-11-23,210.000000,217.750000,209.000000,216.100006,216.100006,11153911
2021-11-24,217.149994,219.000000,212.949997,213.500000,213.500000,9055584
2021-11-25,214.149994,216.000000,212.050003,215.050003,215.050003,6545665
2021-11-26,212.899994,213.899994,201.600006,202.649994,202.649994,13422935
2021-11-29,200.000000,204.850006,194.750000,199.250000,199.250000,13510860
2021-11-30,199.250000,206.500000,197.500000,199.149994,199.149994,13602139
2021-12-01,201.000000,207.500000,198.699997,206.699997,206.699997,12217342
